name,adapter,slug,coverage_priority,is_public_listed,seed_source,notes,careers_url
Scopely,greenhouse,scopely,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.scopely.com/us/en/c/art-jobs
Capgemini,successfactors,careers.capgemini.com,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.capgemini.com
Glanbia,successfactors,careers.glanbia.com,1,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.glanbia.com
Ocuco,bamboohr,ocuco,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.ocuco.com/company/careers/
AIB,successfactors,jobs.aib.ie,1,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.aib.ie/careers
AMCS Group,jsonld,https://www.amcsgroup.com/careers/,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.amcsgroup.com/careers/
BAM Ireland,phenom,www.bamcareers.com,2,false,curated,Phenom site read for Ireland (facet value IRL) instead of sampled as JSON-LD,https://www.bamcareers.com/ie/en
FreeNow,greenhouse,freenow,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://free-now.com
Smyths Toys,successfactors,careers.smythstoys.com,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.smythstoys.com
Sherry FitzGerald,bamboohr,sherryfitz,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://sherryfitz.ie/careers
Equal1,ashby,equal1,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.equal1.com/
Integrity360,bamboohr,integrity360,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.integrity360.com/careers
Penneys,smartrecruiters,Primark,1,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://careers.primark.com/en
Yelp,jsonld,https://www.yelp.careers/us/en,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.yelp.careers/us/en
CluneTech,teamtailor,clunetech,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.clunetech.com/
Corvil,greenhouse,picoquantitativetrading,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.pico.net/about/careers/
Docusign,icims,careers.docusign.com,2,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://careers.docusign.com/careers-home
EdgeTier,ashby,edgetier.com,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.edgetier.com/careers/
Nory,ashby,nory,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.nory.ai/careers
Okta,greenhouse,okta,3,false,curated,Board owner named Okta by Greenhouse; read whole instead of sampled as JSON-LD,https://www.okta.com/company/careers/
PCI Pharma Services,workday,pciservices:wd1:External,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://pci.com/
Pipedrive,lever,pipedrive,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.pipedrive.com/en/jobs
Adobe,workday,adobe:wd5:external_experienced,2,false,curated,Phenom careers site is a front for this Workday board; read whole for Ireland instead of sampled as JSON-LD,https://careers.adobe.com/us/en
BlackRock,workday,blackrock:wd1:BlackRock_Professional,2,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://careers.blackrock.com/
Deciphex,bamboohr,deciphex,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.deciphex.com/careers/home
Demonware,workday,xboxgaming:wd1:External,3,false,curated,Xbox Gaming board (Activision; Blizzard; Demonware); its Irish roles are Demonware's Dublin studio,https://careers.demonware.net
Ding,bamboohr,ding,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://company.ding.com/careers/
Etsy,jsonld,https://careers.etsy.com,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.etsy.com
Keywords Studios,jsonld,https://www.keywordsstudios.com/en/careers/browse-careers/,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.keywordsstudios.com/en/careers/browse-careers/
Payslip,greenhouse,payslipltd,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://payslip.com/careers
Perrigo,successfactors,careers.perrigo.com,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.perrigo.com/
Randstad Ireland,jsonld,https://www.randstad.co.uk/jobs/s-it/ss-erp-crm/,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.randstad.co.uk/jobs/s-it/ss-erp-crm/
RTE,candidatemanager,YFBB|BAZFU,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://about.rte.ie/working-with-rte/vacancies/
Savills Ireland,teamtailor,careers.savills.com,3,false,curated,Teamtailor careers site read from its feed instead of sampled as JSON-LD,https://careers.savills.com/
Zeus Packaging,bamboohr,zeuspackaging,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://global.zeuspackaging.com/careers/
Airtable,greenhouse,airtable,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://airtable.com/careers
Algolia,greenhouse,algolia,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.algolia.com/careers
Amgen Ireland,workday,amgen:wd1:Careers,2,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://careers.amgen.com/en
Aon,icims,jobs.aon.com,3,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://jobs.aon.com/
AstraZeneca,eightfold,astrazeneca,2,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://careers.astrazeneca.com
Booking.com,icims,external-workingatbooking,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.booking.com
Brex,jsonld,https://www.brex.com/careers,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.brex.com/careers
Broadridge,workday,broadridge:wd5:Careers,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://broadridge.wd5.myworkdayjobs.com/Careers
Central Bank of Ireland,candidatemanager,YUYF|BDCXCX,1,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.centralbank.ie/careers
Cisco,workday,cisco:wd5:Cisco_Careers,1,false,curated,Phenom careers site is a front for this Workday board; read whole for Ireland instead of sampled as JSON-LD,https://careers.cisco.com/global/en/home
Clark Energy,workday,rehlko:wd12:Reh,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.clarke-energy.com/careers/current-vacancies/
Contentful,greenhouse,contentful,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://contentful.com
Crowdcube Ireland,teamtailor,careers.crowdcube.com,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.crowdcube.com
Danone Ireland,icims,notifications.careers.danone.com,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.danone.com/en-global/home.html
Duolingo,greenhouse,duolingo,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.duolingo.com
Emagine Ireland,ashby,emagine,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.emagine.ie/careers
Epic Games,greenhouse,epicgames,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.epicgames.com/site/careers
Excel Recruitment,jsonld,https://www.excelrecruitment.com/jobs/,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.excelrecruitment.com/jobs/
Exergyn,personio,exergyn,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.exergyn.com/careers/
Fineos,successfactors,careers.fineos.com,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.fineos.com?utm_campaign=CorporateSite
Fonoa,ashby,fonoa,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.fonoa.com/company/careers
Fourtheorem,bamboohr,fourtheorem,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://fourtheorem.com/careers/
Freshworks,smartrecruiters,Freshworks,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.freshworks.com/company/careers/
GitHub,icims,careers-githubinc,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.github.careers/careers-home
Glofox,workday,abcfinancial:wd5:ABCFinancialServices,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://abcfitness.com/careers/
gradireland,jsonld,https://targetjobs.co.uk,1,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://targetjobs.co.uk
Grafana Labs,greenhouse,grafanalabs,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://grafana.com/careers/
HealthTech Ireland,jsonld,https://www.recruitmentplus.ie/,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.recruitmentplus.ie/
Hostelworld,teamtailor,people.hostelworld.com,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://people.hostelworld.com/
HPE,workday,hpe:wd5:Jobsathpe,2,false,curated,Phenom careers site is a front for this Workday board; read whole for Ireland instead of sampled as JSON-LD,https://careers.hpe.com/us/en
Jagex,workable,jagex-limited,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://apply.workable.com/jagex-limited/j/5A3D8037AA
Jaguar Land Rover Shannon,successfactors,www.jaguarlandrovercareers.com,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.jaguarlandrover.com/
Keelvar,personio,keelvar,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.keelvar.com/careers
AXA Ireland,icims,careers.axa.com,3,false,curated,AXA group board filtered to Ireland; covers AXA Ireland and Laya Healthcare,https://careers.axa.com/careers-home/jobs
Lightyear,jsonld,https://careers.lightyear.com,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.lightyear.com
Marqeta,ashby,marqeta-inc,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.marqeta.com/careers/e0948ad4-4957-47d1-a903-4f7eae10a8ce
McAfee,icims,careers-mcafee,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.mcafee.com/home
Mixpanel,greenhouse,mixpanel,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://mixpanel.com/jobs/
Modulr,greenhouse,modulrfinance,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.modulrfinance.com/careers
N26,greenhouse,n26,3,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://n26.com/en-eu/careers
Netlify,greenhouse,netlify,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.netlify.com/careers/
Nium,lever,nium,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.nium.com/careers
Novartis Ireland,workday,novartis:wd3:Novartis_Careers,2,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://www.novartis.com/careers
Oneview Healthcare,bamboohr,oneviewhealthcare,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.oneviewhealthcare.com/careers/
Optimizely,successfactors,careers.optimizely.com,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.optimizely.com/company/life-at-optimizely
Optiver,jsonld,https://www.optiver.com/join-us/jobs/,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.optiver.com/join-us/jobs/
Output Sports,personio,output-sports,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.outputsports.com/
PepsiCo Ireland,icims,www.pepsicojobs.com,2,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://www.pepsicojobs.com/main/
Plaid,ashby,plaid,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://plaid.com/careers/openings/design/product-designer/
Profitero,jsonld,https://careers.publicisgroupe.com/profitero/jobs,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.publicisgroupe.com/profitero/jobs
Sanity,ashby,sanity,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.sanity.io/careers/ae-usa
Sanofi Ireland,workday,sanofi:wd3:SanofiCareers,2,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://jobs.sanofi.com/en
Sentry,ashby,sentry,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://sentry.io/careers/
Shutterstock,workday,shutterstock:wd1:ShutterstockCareers,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.shutterstock.com/us/en
SilverCloud Health,greenhouse,amwell,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://silvercloud.amwell.com/about-us/careers
Snowflake,ashby,snowflake,2,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://careers.snowflake.com/us/en
Sopra Steria,smartrecruiters,SopraSteria1,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.soprasteria.com/
Spectrum.Life,personio,spectrum-life,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.spectrum.life/
Supabase,ashby,supabase,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://supabase.com/careers
Takeda Ireland,workday,takeda:wd502:External,2,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://jobs.takeda.com
Taxamo,workday,vertexinc:wd1:VertexInc,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.vertexinc.com/company/careers
Teleflex,successfactors,careers.teleflex.com,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.teleflex.com
Tirlan,successfactors,careers.tirlan.com,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.tirlan.com/tirlan-careers
Toolbx,ashby,toolbx,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.toolbx.com/careers
TripAdvisor,greenhouse,tripadvisor,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.tripadvisor.com
Twitch,greenhouse,twitch,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.twitch.tv/p/jobs/?utm_source=jobs
Tyndall National Institute,jsonld,https://www.tyndall.ie/careers/,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.tyndall.ie/careers/
Typeform,greenhouse,typeform,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.typeform.com/careers
Uber,oracle_recruiting,iaziqy.fa.ocs.oraclecloud.com|UberCareers,2,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://jobs.uber.com/en/
Unity,workday,unitytech:wd1:Unity,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://unity.com/careers/positions
UrbanVolt,personio,urbanvolt,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://urbanvolt.com/careers/
Vertical Bridge,greenhouse,verticalbridge,4,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://verticalbridge.ie
Willis Towers Watson,jsonld,https://careers.wtwco.com,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.wtwco.com
Wise,smartrecruiters,Wise,2,false,curated,SmartRecruiters board owned by Wise; read for Ireland instead of sampled as JSON-LD,https://wise.jobs/
Xilinx,icims,careers.amd.com,3,false,curated,AMD's board (Xilinx is now AMD Dublin), read for Ireland,https://careers.amd.com/careers-home/jobs
Zimmer Biomet,phenom,careers.zimmerbiomet.com,2,false,curated,Phenom site read for Ireland instead of sampled as JSON-LD; Shannon,https://careers.zimmerbiomet.com
Zinkworks,teamtailor,zinkworks,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.zinkworks.com/careers/
Public Appointments Service,publicjobs,3,1,false,board,publicjobs.ie main board - every civil and public service competition,https://www.publicjobs.ie/en/
Public Appointments Service,publicjobs,6,1,false,board,publicjobs.ie medical consultants board,https://www.publicjobs.ie/en/
Public Appointments Service,publicjobs,7,1,false,board,publicjobs.ie state boards,https://www.publicjobs.ie/en/
Microsoft,eightfold,microsoft|microsoft.com,1,false,bespoke,careers.microsoft.com now runs on Eightfold; Leopardstown campus,https://careers.microsoft.com/
Salesforce,workday,salesforce:wd12:External_Career_Site,1,false,ats-detection,Dublin tower; Workday board,https://careers.salesforce.com/
gradireland,gradireland,all,1,false,board,"Graduate jobs, schemes and internships from ~300 Irish employers",https://gradireland.com/graduate-jobs
Apple,apple,ireland-IRL,1,false,bespoke,Own platform; search page carries its results as hydration data,https://jobs.apple.com/en-ie/search?location=ireland-IRL
TikTok,tiktok,CT_37,1,false,bespoke,lifeattiktok.com search API; CT_37 is Dublin,https://lifeattiktok.com/search
IBM,ibm,Ireland,1,false,bespoke,IBM site search API filtered to Ireland; Mulhuddart campus,https://www.ibm.com/careers/search
Zoom,workday,zoom:wd5:Zoom,3,false,curated,Zoom's own tenant; detection had matched an unrelated Fortune board,https://careers.zoom.us
Marsh Ireland,workday,mmc:wd1:MMC,3,false,curated,Marsh McLennan board (Marsh; Mercer; Oliver Wyman; Guy Carpenter),https://careers.marsh.com/eu/en
Medtronic,workday,medtronic:wd1:MedtronicCareers,1,false,curated,Galway and Dublin,https://medtronic.wd1.myworkdayjobs.com/MedtronicCareers
Fidelity Investments,workday,fmr:wd1:FidelityCareers,1,false,curated,Dublin and Galway,https://jobs.fidelity.com
Diageo Ireland,workday,diageo:wd3:Diageo_Careers,1,false,curated,St James's Gate,https://diageo.wd3.myworkdayjobs.com/Diageo_Careers
Boston Scientific,eightfold,bostonscientific,1,false,curated,Galway and Clonmel,https://bostonscientific.eightfold.ai/careers
PayPal,eightfold,paypal,1,false,curated,Dublin,https://paypal.eightfold.ai/careers
Dublin Airport Authority,oracle_recruiting,fa-etol-saasfaprod1.fa.ocs.oraclecloud.com|CX_1,1,false,curated,Found by rendering daa.ie/careers,https://fa-etol-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
JPMorgan Chase,oracle_recruiting,jpmc.fa.oraclecloud.com|CX_1001,1,false,curated,Dublin; read filtered to Ireland,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001
Analog Devices,workday,analogdevices:wd1:External,2,false,curated,Found through the tenant's robots.txt site list; Limerick and Dublin,https://analogdevices.wd1.myworkdayjobs.com/External
IQVIA,workday,iqvia:wd1:IQVIA,2,false,curated,Found through the tenant's robots.txt site list,https://iqvia.wd1.myworkdayjobs.com/IQVIA
Regeneron Ireland,workday,regeneron:wd1:Careers,2,false,curated,Found through the tenant's robots.txt site list,https://regeneron.wd1.myworkdayjobs.com/Careers
GSK Ireland,workday,gsk:wd5:GSKCareers,2,false,curated,Found through the tenant's robots.txt site list,https://gsk.wd5.myworkdayjobs.com/GSKCareers
Expedia,workday,expedia:wd108:search,2,false,curated,Found through the tenant's robots.txt site list,https://expedia.wd108.myworkdayjobs.com/search
Revolut,revolut,Ireland,1,false,bespoke,Positions embedded in the careers page; Irish ones read with their adverts,https://www.revolut.com/careers/?city=Dublin
Kerry Group,phenom,jobs.kerry.com,1,true,curated,Phenom site; its SuccessFactors back end has no public search,https://jobs.kerry.com
Ryanair,successfactors,jobs.ryanair.com|Ireland,1,true,curated,Global board searched for Ireland (Dublin and Shannon),https://careers.ryanair.com/jobs/
CRH,successfactors,jobs.crh.com|Ireland,1,true,curated,SuccessFactors search app read through its JSON endpoint,https://jobs.crh.com/go/CRH-International/9763801/
Vodafone Ireland,successfactors,opportunities.vodafone.com|Ireland,1,false,curated,Vodafone group board searched for Ireland,https://opportunities.vodafone.com
Health Service Executive,hse,all,1,false,bespoke,HSE job search read page by page; confined competitions left out,https://about.hse.ie/jobs/job-search/
University College Dublin,corehr,"ucdrecruit|1|Dublin, Ireland",1,false,curated,CoreHR e-recruitment,https://www.ucd.ie/hr/jobs/
Trinity College Dublin,corehr,"trrecruit|1|Dublin, Ireland",1,false,curated,CoreHR e-recruitment (jobs.tcd.ie),https://jobs.tcd.ie/
Dublin City University,corehr,"dcurecruit|1|Dublin, Ireland",1,false,curated,CoreHR e-recruitment,https://www.dcu.ie/people/jobs
Technological University Dublin,corehr,"tudrecruit|1|Dublin, Ireland",1,false,curated,CoreHR e-recruitment,https://www.tudublin.ie/explore/jobs/
Royal College of Surgeons in Ireland,corehr,"rcsirecruit|1000|Dublin, Ireland",2,false,curated,CoreHR e-recruitment,https://www.rcsi.com/careers
Maynooth University,corehr,"nuimrecruit|1|Maynooth, Co. Kildare, Ireland",2,false,curated,CoreHR e-recruitment,https://www.maynoothuniversity.ie/human-resources/vacancies
University College Cork,corehr,"uccrecruit|5023|Cork, Ireland",2,false,curated,CoreHR e-recruitment,https://www.ucc.ie/en/hr/vacancies/
University of Galway,corehr,"nuigrecruit|1|Galway, Ireland",2,false,curated,CoreHR e-recruitment,https://www.universityofgalway.ie/about-us/jobs/
Eir,careers_html,https://jobs.eir.care/jobs,1,false,curated,Odoo careers site read as a plain vacancy list,https://jobs.eir.care/jobs
Three Ireland,cornerstone,three-ireland|5,1,false,curated,Cornerstone career site read through its regional search API,https://three-ireland.csod.com/ux/ats/careersite/5/home?c=three-ireland
Block,greenhouse,block,2,false,curated,Board owner named Block by Greenhouse,https://block.xyz/careers
Databricks,greenhouse,databricks,2,false,curated,Board owner named Databricks by Greenhouse,https://www.databricks.com/company/careers
Adyen,greenhouse,adyen,2,false,curated,Board owner named Adyen by Greenhouse,https://careers.adyen.com
SumUp,greenhouse,sumup,3,false,curated,Board owner named SumUp by Greenhouse; Dublin office,https://www.sumup.com/careers/
